Links,Claims,Date,
https://www.boomlive.in/fact-check/fake-news-delhi-rohini-area-man-husband-stabs-wife-to-death-communal-angle-harish-mehta-nelu-metha-factcheck-12726,Clip shows Muslim man stabs hindu wife,12 April 2021 10:59 AM GMT,
https://www.boomlive.in/fact-check/bjp-bengal-leaders-share-photo-of-injured-cisf-jawan-with-fake-claim-12723,Image shows CISF jawan attacked by TMC goons in West Bengals Shitalkuchi,12 April 2021 8:59 AM GMT,
https://www.boomlive.in/fact-check/west-bengal-assembly-election-2021-fake-news-old-video-keya-ghosh-bjp-tmc-12716,This is how TMC has been doing rigging.,11 April 2021 1:08 PM GMT,
https://www.boomlive.in/fact-check/fake-news-locket-chatterjee-car-broken-from-inside-west-bengal-elections-bjp-tmc-voting-factcheck-12704,BJP leader Locket Chatterjees car window broken from inside,10 April 2021 11:36 AM GMT,
https://www.boomlive.in/fact-check/ever-given-suez-canal-crisis-dhoom-machaale-horns-fake-news-fact-check-12692,Dhoom Horns are been blown as the ship finally leaves the Suez Canal. 100% Indian staff,9 April 2021 12:49 PM GMT,
https://www.boomlive.in/fast-check/2019-video-of-bjp-leaders-fighting-in-up-revived-with-false-claim-12689,Video BJP leader was thrashed by shoes for talking behalf of Modi in a ministerial meet in India,9 April 2021 10:26 AM GMT,
https://www.boomlive.in/fact-check/prime-minister-narendra-modi-mann-ki-baat-pariksha-pe-charcha-2021-pmo-india-attempt-difficult-questions-first-factcheck-12678,PM Narendra Modi said attempt difficult questions first,8 April 2021 12:54 PM GMT,
https://www.boomlive.in/fact-check/video-of-protests-in-bangladesh-post-pm-modis-visit-peddled-as-bengal-12673,Video shows Muslims protesting in West Bengal,8 April 2021 11:51 AM GMT,
https://www.boomlive.in/fast-check/fake-news-2014-bhojpuri-film-photo-aurat-hilonna-nahi-west-bengal-election-hindu-woman-communal-angle-factcheck-12666,Photo shows Hindu woman being tortured in West Bengal,8 April 2021 7:37 AM GMT,
https://www.boomlive.in/coronavirus-outbreak/video-who-india-50000-covid-19-deaths-fake-news-12639,"WHO said India will see 50,000 deaths by April 15",6 April 2021 11:08 AM GMT,
https://www.boomlive.in/fact-check/dahod-police-arrests-terrorists-at-railway-station-viral-video-fact-check-fake-news-gujarat-12638,Police/army apprehended terrorists at Dahod railway station,6 April 2021 10:56 AM GMT,
https://www.boomlive.in/fact-check/arvind-kejriwal-face-mask-corona-virus-covid-19-second-wave-fact-check-fake-news-12627,Arvind Kejriwal is putting a mask on the face of a kid but is not wearing one himself.,5 April 2021 2:16 PM GMT,
https://www.boomlive.in/fact-check/bengal-polls-morphed-abp-clipping-claims-tmcs-win-12626,Anadabazar Patrika shows opinon poll as TMCs Dilip Yadav ahead in Pursurah seat,5 April 2021 1:12 PM GMT,
https://www.boomlive.in/fact-check/fact-check-fake-news-yogi-adityanath-ani-video-ani-up-viral-video-12625,Video of Yogi Adityanath using an expletive word is fake,5 April 2021 12:46 PM GMT,
https://www.boomlive.in/fact-check/muslim-couple-marries-off-adopted-daughter-to-hindu-man-kerala-viral-photo-fact-check-12618,Muslim parents in Kerala got their daughter married to a Hindu boy,4 April 2021 3:06 PM GMT,
https://www.boomlive.in/fact-check/himanta-biswa-sarma-covid-19-assam-mask-social-distancing-12617,There is no COVID-19 in Assam these days.,4 April 2021 2:02 PM GMT,
https://www.boomlive.in/fact-check/evm-hacking-ts-krishnamurthy-election-commission-assembly-election-2021-west-bengal-assam-tamil-nadu-kerala-fake-news-fact-check-12616,Ex Election Commissioner TS Krishnamurthy said BJP won Gujarat and Himachal Pradesh elections by hacking EVMs.,4 April 2021 11:19 AM GMT,
https://www.boomlive.in/coronavirus-outbreak/fake-message-of-covid-19-cure-found-by-pondicherry-student-revived-12603,Pondicherry University student found the cure for covid-19,3 April 2021 12:51 PM GMT,
https://www.boomlive.in/fact-check/fake-news-old-photos-income-tax-raid-gold-cash-tamil-nadu-dmk-mk-stalin-daughter-it-raids-house-factcheck-12602,Photos show cash and gold recovered in income tax raids at MK Stalins daughters house,3 April 2021 12:12 PM GMT,
https://www.boomlive.in/fact-check/pm-modi-falsely-claims-building-15000-kms-of-rural-road-in-assam-12601,PM Narendra Modi waving at invisible crowd,3 April 2021 11:55 AM GMT,
https://www.boomlive.in/fact-check/rahul-gandhi-falsely-claims-assam-tops-unemployment-in-india-12600,COVID-19 vaccines will cause more deadly variants of the virus,3 April 2021 11:26 AM GMT,
https://www.boomlive.in/fact-check/factchecking-ministers-comments-on-covid-19-icu-beds-in-delhi-12598,Kolkata TV predicts Suvendu Adhikari will win Nandigram in opinion poll,3 April 2021 10:56 AM GMT,
https://www.boomlive.in/fact-check/fact-check-pm-narendra-modi-waves-at-invisible-crowd-viral-video-fake-news-west-bengal-elections-assam-kerala-tami-nadu-puducherry-12596,Clip shows holi celebration at Atal tunnel,3 April 2021 6:34 AM GMT,
https://www.boomlive.in/world/self-described-virologist-bossche-makes-false-covid-19-vaccine-claims-12700,Dr. Hari Harinis death was due to diclofenac which was given to her for pain after the covid-19 vaccine,31 March 2021 6:33 PM GMT,31-Mar-21
https://www.boomlive.in/fact-check/fake-kolkatatv-opinion-poll-claims-suvendu-adhikaris-win-in-nandigram-12579,Former chief justice of India Ranjan Gogoi tweets about education jihad,31 March 2021 3:26 PM GMT,31-Mar-21
https://www.boomlive.in/fact-check/fake-news-atal-tunnel-himachal-pradesh-ladakh-holi-celebration-viral-video-saudi-arabia-factcheck-12578,Audio clip on COVID relates to Dr. Trehan of Medanta,31 March 2021 3:04 PM GMT,31-Mar-21
https://www.boomlive.in/coronavirus-outbreak/bmc-rubbishes-viral-graphic-claiming-children-more-prone-to-covid-19-12575,Woman assaulted by members of Bajrang Dal and RSS,31 March 2021 1:59 PM GMT,31-Mar-21
https://www.boomlive.in/fact-check/west-bengal-election-2021-bjp-tmc-ipac-leaked-survey-mamata-banerjee-nandigram-suvendu-adhikari-dilip-ghosh-letter-jp-nadda-intelligence-bureau-fake-news-12570,Image shows one of Amit Shahs recent rallies.,31 March 2021 10:59 AM GMT,31-Mar-21
https://www.boomlive.in/coronavirus-outbreak/did-taking-diclofenac-post-covid-19-jab-kill-a-tn-doctor-a-factcheck-12549,Muslim youth get violent when asked to wear helmet,30 March 2021 6:27 AM GMT,30-Mar-21
https://www.boomlive.in/fact-check/driveway-brawl-viral-as-ajay-devgn-thrashed-by-farmers-supporters-12541,Uttaranchal university made all students wear saffron scarf on graduation day,29 March 2021 8:44 AM GMT,29-Mar-21
https://www.boomlive.in/fact-check/screenshot-of-ranjan-gogoi-tweet-on-jamia-professor-abrar-ahmad-viral-caa-fact-check-12538,Leaked video shows Mamata Banerjee secretly visiting a mosque to offer prayers,28 March 2021 3:08 PM GMT,28-Mar-21
https://www.boomlive.in/fact-check/covid-19-cure-audio-clip-that-was-falsely-linked-to-medanta-resurfaces-12537,Clip shows a bomb blast in a church in Andhra Pradesh,28 March 2021 2:18 PM GMT,28-Mar-21
https://www.boomlive.in/fast-check/2019-video-of-tribal-woman-assaulted-in-mp-revived-with-false-claims-12529,"ICICI, HDFC and Axis Bank were PSUs that have been privatised",28 March 2021 6:58 AM GMT,28-Mar-21
https://www.boomlive.in/fact-check/2018-photo-of-empty-chairs-from-bjp-event-viral-as-west-bengal-12526,News graphic shows TV9 Bharatvarsh reporting that Aditya Thackeray tested HIV positive,27 March 2021 2:16 PM GMT,27-Mar-21
https://www.boomlive.in/fact-check/narendra-modi-bangladesh-bjp-jana-sangh-1971-bangladesh-freedom-jana-sangh-satyagraha-12525,"Photo shows a recent protest in Dhaka, Bangladesh against Prime Minister Narendra Modi",27 March 2021 1:20 PM GMT,27-Mar-21
https://www.boomlive.in/fact-check/muslim-youth-attack-when-asked-to-wear-helmets-viral-video-islamophobia-fact-check-12510,Clip shows a Boeing 747 launched from a cargo plane,26 March 2021 12:34 PM GMT,26-Mar-21
https://www.boomlive.in/fact-check/uttaranchal-university-convocation-saffron-dress-code-for-students-fact-check-12495,JJ Hospital in Mumbai is giving Covid-19 vaccine to everybody above the age of 45,25 March 2021 1:32 PM GMT,25-Mar-21
https://www.boomlive.in/fact-check/mamata-banerjee-secretly-visits-nandigram-dargah-not-really-12492,"PM Modi said show the poor dreams, tell lies, make them fight one another and then rule",25 March 2021 12:49 PM GMT,25-Mar-21
https://www.boomlive.in/fact-check/fake-news-andhra-pradesh-church-blast-viral-video-sri-lanka-church-easter-bombing-fact-check-12491,A serious discussion on Corona at Bhopals national health missions office,25 March 2021 9:54 AM GMT,25-Mar-21
https://www.boomlive.in/fact-check/were-axis-hdfc-bank-icici-bank-psus-before-privatisation-a-factcheck-12485,"Rahul Gandhi asks student whether unemployment has increased BJP regime, the student says no, it hasnt.",24 March 2021 3:08 PM GMT,24-Mar-21
https://www.boomlive.in/fact-check/fake-news-aditya-thackeray-hiv-positive-shiv-sena-uddhav-thackeray-tv9-bharatvarsh-edited-news-graphic-12477,Rajasthan government has given 100 crores rupees for a dargah.,24 March 2021 8:29 AM GMT,24-Mar-21
https://www.boomlive.in/fact-check/anti-france-protest-photo-falsely-linked-to-pm-modis-bangladesh-visit-12469,The Wire has offered an apology in the Supreme Court after losing the Jay Shah case,23 March 2021 11:07 AM GMT,23-Mar-21
https://www.boomlive.in/fact-check/fake-news-flight-simulation-clip-boeing-747-carrying-antonov-an-225-cargo-plane-take-off-factcheck-12460,A 31 year old rare picture of Narendra Modi at a refugee camp at Rajasthans Barmer where he went to meet displaced Hindus.,23 March 2021 9:00 AM GMT,23-Mar-21
