Links,Claims,Date,Date
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-shia-leader-wasim-rizvi-being-thrashed-for-seeking-removal-of-quranic-verses-1785137-2021-03-30," Video shows former UP Shia Central Waqf Board chairman Wasim Rizvi, who recently filed a PIL in the Supreme Court seeking removal of 26 verses from Quran, getting thrashed in Punjab",30-Mar-21,30-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-picture-of-congress-leaders-with-sheikh-hasina-goes-viral-with-false-claim-1784571-2021-03-28, This picture was taken during the UPA regime when “Sonia Gandhi took PM Manmohan Singh on a tour to Bangladesh”,28-Mar-21,28-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-tamil-nadu-welcoming-rahul-gandhi-ahead-of-assembly-polls-1784335-2021-03-27, Images show large crowd gathered for Rahul Gandhi's election rally in Tamil Nadu,27-Mar-21,27-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-the-picture-of-bhagat-singhs-funeral-know-the-story-of-his-cremation-1783175-2021-03-24," Picture of the funeral ceremony of freedom fighters Bhagat Singh, Sukhdev, and Rajguru",24-Mar-21,24-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-tragic-video-of-students-falling-off-after-railing-collapse-is-from-bolivia-not-assam-1783086-2021-03-24, Seven students died after falling off the fourth floor in Guwahati after the railing gave away,24-Mar-21,24-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-was-this-old-man-thrashed-for-performing-aarti-at-his-house-in-west-bengal-1782642-2021-03-23, Video shows how an old Hindu man was beaten up for performing ‘aarti’ at his house in West Bengal,23-Mar-21,23-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-did-gajendra-chauhan-tweet-in-support-of-man-who-thrashed-muslim-boy-in-ghaziabad-1780513-2021-03-17," Actor and former FTII chairman Gajendra Chauhan has come out in support of Shringi Yadav, the man accused of assaulting a minor Muslim boy for allegedly drinking water at a Ghaziabad temple",17-Mar-21,17-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-this-newspaper-clipping-on-hike-in-mp-allowance-is-three-years-old-1780077-2021-03-16, The Union Cabinet has approved an increase in MP allowances,16-Mar-21,16-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-viral-claim-saying-all-bjp-mlas-in-punjab-joined-congress-is-false-1780058-2021-03-16, Punjab has become India’s first BJP-free state after all three of its MLAs joined Congress,16-Mar-21,16-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-morphed-tweet-criticising-bjp-falsely-attributed-to-yashwant-sinha-1779735-2021-03-16, Former Union minister Yashwant Sinha tweeted a rhyme saying India has deteriorated since BJP came to power,16-Mar-21,16-Mar-21
