Links,Claims,,,
https://thelogicalindian.com//fact-check/cooch-behar-violence-27829,"An image of an injured CISF personnel is viral with a fake claim that he was attacked by 'TMC goons' in Cooch Behar, West Bengal",,,
https://thelogicalindian.com//fact-check/locket-chatterjees-car-smashed-27828,Social media users are sharing a video showing broken window of car of BJP leader Locket Chatterjee with the claim that the window was broken from inside,,,
https://thelogicalindian.com//fact-check/coronavirus-vaccine-maharashtra-27805,Controversy over coronavirus vaccination erupted after Maharashtra Health Minister accused the Centre of supplying a lesser number of vaccines,,,
https://thelogicalindian.com//fact-check/rakesh-tikait-inked-face-27804,Netizens are sharing an image of Rakesh Tikait's inked face claiming that the people of Rajasthan blackened his face when he went to the state asking for Bharat Bandh,,,
https://thelogicalindian.com//fact-check/kumbh-mela-27803,An old image of Prayag Kumbh Mela held in 2019 is being shared with a caption that the image is of ongoing Kumbh Mela in Haridwar,,,
https://thelogicalindian.com//fact-check/bangladesh-video-shared-with-fake-angles-27802,"Many social media users are sharing a video of Bangladesh with a claim that the viral video is of West Bengal, while many others are sharing it with a fake communal angle",,,
https://thelogicalindian.com//fact-check/love-jihad-in-noida-27795,"An old image from Lucknow is being shared online with a recent crackdown by the anti-Romeo squad in Noida, revealing a case of 'Love Jihad'",,,
https://thelogicalindian.com//fact-check/pm-modi-suggested-attempting-difficult-questions-first-27792,"Official Twitter handles misquote PM Narendra Modi, tweeted ""Attempt Difficult Question First""",,,
https://thelogicalindian.com//fact-check/mamata-banerjee-27778,A photoshopped image of newspaper Bartaman has gone viral to claim that Mamata Banerjee said that she'll make Hindus cry if she got 42 seats,,,
https://thelogicalindian.com//fact-check/muslim-couple-marries-hindu-daughter-27776,An image of a Muslim couple marrying their adopted Hindu daughter is going viral with a false claim that they have married their Muslim daughter to a Hindu man,,,
https://thelogicalindian.com//fact-check/ts-krishnamurthy-accepts-evm-hacking-27766,Social media users are sharing a newspaper clip that says former Chief Election Commissioner alleged that BJP won Gujarat and Himachal Pradesh elections through EVM hacking,,,
https://thelogicalindian.com//fact-check/tirupati-temple-sidhivinayak-temple-27764,Netizens claim that the chairman of Tirumala Tirupati Devasthanams is a Christian and the trustee of Siddhivinayak Temple is a Muslim,,,
https://thelogicalindian.com//fact-check/temple-vandalisation-27762,Social media users are sharing a video of temple vandalisation in Delhi claiming that the vandalisation is done by a Muslim,,,
https://thelogicalindian.com//fact-check/yogi-adityanath-27749,"After the video of Yogi Adityanath abusing in front of the camera went viral, UP CMO said that the video is edited and an FIR will be filed against those sharing the video",,,
https://thelogicalindian.com//fact-check/hoax-of-hopshots-busted-27745,"Many media outlets reported that a Bihari youth managed to grow hop-shoots, a crop that is sold at Rs 1 lakh per kilogram",,,
https://thelogicalindian.com//fact-check/arvind-kejriwal-not-wearing-facemask-27735,An old image of Delhi Chief Minister Arvind Kejriwal and Deputy Chief Minister Manish Sisodia has gone viral falsely claiming that they are not wearing facemask amid coronavirus pandemic while promoting the use of it,,,
https://thelogicalindian.com//fact-check/it-raid-in-mk-stalin-27734,Income Tax Department found only Rs 1,,,
https://thelogicalindian.com//fact-check/koushani-mukherjee-27717,BJP Bengal tweeted an edited video to claim that TMC leader Koushani Mukherjee threatened voters with repercussions in case they don't vote for her party,,,
https://thelogicalindian.com//fact-check/caste-atrocity-27716,A video of a girl being beaten by her family members for allegedly eloping with a boy of another caste is being shared with a false SC/ST atrocity angle to it,,,
https://thelogicalindian.com//fact-check/narendra-modi-27712,Social media users are sharing a video of Prime Minister Narendra Modi claiming that he was waving in an empty field during a rally in West Bengal,,,
https://thelogicalindian.com//fact-check/derek-o-brien-writes-to-ec-27700,Netizens are sharing a post claiming TMC leader Derek O'Brien wrote to Election Commission for complaining about booth capturing in North Kolkata,,,
https://thelogicalindian.com//fact-check/aadhaar-card-pan-card-link-27699,"Social media users are sharing a post claiming that if the Aadhaar card is not linked with the PAN card by March 31, then it will invite a penalty of Rs 10,000",,,
https://thelogicalindian.com//fact-check/communal-violence-at-jaspur-dargah-27687,"Netizens are sharing a video of violence at Jaspur Dargah, Uttrakhand claiming that Hindus were beaten by Muslims for offering chadar on Shab-e-Barat",,,
https://thelogicalindian.com//fact-check/ib-report-27686,Social media users are sharing two reports claiming to be the on-ground assessment done by Intelligence Bureau about West Bengal and Tamil Nadu Assembly Elections,,,
https://thelogicalindian.com//fact-check/dilip-ghosh-letter-27685,Netizens are sharing a letter purportedly written by Dilip Ghosh to JP Nadda saying that the internal survey of Phase 1 of West Bengal Assembly Elections is not in favour of BJP,,,
https://thelogicalindian.com//fact-check/ipac-survey-27676,Social media users are sharing an image purportedly of a survey of IPAC to show that West Bengal Chief Minister Mamata Banerjee is losing from Nandigram seat,,,
https://thelogicalindian.com//fact-check/holi-celebration-27671,"National spokesperson of Vishwa Hindu Parishad, Vinod Bansal shared a video of a colourful firework claiming to be of Holi celebration",,,31-Mar-21
https://thelogicalindian.com//fact-check/coronavirus-27670,"WhatsApp users are sharing an audio message warning against the rise of coronavirus cases in India, claiming that the audio message is from the CMD of Medanta hospital",,,31-Mar-21
https://thelogicalindian.com//fact-check/ajay-devgan-beaten-27660,Social media users are sharing a video of people beating a person with the claim that the viral video is of Bollywood actor Ajay Devgn being thrashed by a mob in Delhi,,,31-Mar-21
https://thelogicalindian.com//fact-check/waseem-rizvi-thrashed-27649,Video of BJP MLA Arun Narang being thrashed by agitating farmers is viral with the claim that the person in the video being beaten is Shia leader Waseem Rizvi,,,31-Mar-21
https://thelogicalindian.com//fact-check/bhagat-singhs-last-rite-27611,Social media users are sharing a black and white image claiming it to be of the last rites of Bhagat Singh,,,27-Mar-21
https://thelogicalindian.com//fact-check/bjp-leaderevm-seized-27610,Old news of 66 EVMs seized from BJP leader's residence from Rajasthan goes viral with the fake claim of it being from West Bengal ahead of State Assembly elections,,,27-Mar-21
https://thelogicalindian.com//fact-check/rahul-gandhis-rally-27588,Images of a crowd gathered in the rally of DMK leader MK Stalin are being shared with a fake claim that the photos are of Rahul Gandhi's rally in Tamil Nadu,,,26-Mar-21
https://thelogicalindian.com//fact-check/video-of-helmet-man-27587,Netizens are sharing a video of an awareness campaign for road safety with a claim of Muslims getting aggressive when questioned for not wearing a helmet,,,26-Mar-21
https://thelogicalindian.com//fact-check/privatisation-of-bank-27562,"Social media users claim that Axis Bank, HDFC, and ICICI bank were public sector banks that were later privatised",,,25-Mar-21
https://thelogicalindian.com//fact-check/bangladesh-liberation-27561,Social media users are sharing two photos of women sitting in a Jeep claiming that they were freedom fighters who fought for the liberation of Bangladesh and they were initially Hindus who later accepted Islam,,,25-Mar-21
https://thelogicalindian.com//fact-check/saayoni-ghosh-27560,Netizens are sharing a video of TMC candidate and actor Saayoni Ghosh running during an election campaign with a false claim,,,25-Mar-21
https://thelogicalindian.com//fact-check/narendra-modi-27547,Social media users are sharing an old image of a protest held in Bangladesh against France's Prime Minister Emmanuel Macron as Muslims protesting in the nation against the visit of Prime Minister Narendra Modi's visit,,,24-Mar-21
https://thelogicalindian.com//fact-check/aditya-thackeray-27546,Social media users are sharing a morphed screenshot of the news bulletin of TV9 Bharatvarsh to claim Aditya Thackeray has been tested positive for 'HIV/AIDS',,,24-Mar-21
https://thelogicalindian.com//fact-check/narendra-modi-27515,"Many social media users are sharing a clipped video of Prime Minister Narendra Modi to portray that he is suggesting to 'Show dreams to poor, tell lies, create differences between them and rule'",,,23-Mar-21
https://thelogicalindian.com//fact-check/us-defence-secretary-27514,Social media users are claiming that NDTV falsely reported that US Defence Secretary Lloyd J Austin III spoke about the human rights crisis in India during his three days visit,,,23-Mar-21
https://thelogicalindian.com//fact-check/west-bengal-elections-27505,"Images from a scuffle between BJP party workers in 2016, during a meeting headed by actor Rupa Ganguly, is being shared online as BJP workers creating ruckus in Coffee House, Kolkata",,,23-Mar-21
https://thelogicalindian.com//fact-check/coronavirus-vaccine-27494,Many Congress leaders and supporters are sharing an infographic saying Congress provided vaccines of 12 diseases for free while BJP is charging for coronavirus vaccine in private hospitals,,,22-Mar-21
https://thelogicalindian.com//fact-check/rahul-gandhis-remark-27491,"A clipped video of Rahul Gandhi while addressing a rally in Dharavi, Mumbai, is being shared to portray that he said 'Congress did nothing in 70 years'",,,22-Mar-21
https://thelogicalindian.com//fact-check/mamata-banerjee-27463,"The Chief Minister of West Bengal, Mamata Banerjee while addressing a rally in Jhargram ahead of West Bengal elections misleadingly claimed that vaccines of Dengue and Malaria are given free in West Bengal",,,20-Mar-21
https://thelogicalindian.com//fact-check/mumbai-lab-technician-27455,"Social media users are sharing posts claiming that Abdul Khan, a lab technician in Mumbai, was arrested for giving corona positive report to all Hindus who were not coronavirus patients",,,19-Mar-21
https://thelogicalindian.com//fact-check/meesha-shafi-imprisoned-27453,Indian media reported that Pakistani singer Meesha Shafi has been sentenced to 3 years of jail for allegations of sexual harassment on Ali Zafar,,,19-Mar-21
https://thelogicalindian.com//fact-check/fake-twitter-account-of-waseem-rizvi-27437,"Tweets purportedly from controversial Shia leader, Waseem Rizvi, seeking support from common people have gone viral",,,18-Mar-21
https://thelogicalindian.com//fact-check/man-urinates-in-temple-27421,An old video of a Hindu man urinating in a temple in Vishakhapatnam is viral with a claim that he is a Muslim man,,,17-Mar-21
https://thelogicalindian.com//fact-check/yashwant-sinhas-tweet-27406,A screenshot of a tweet purportedly belonging to former BJP leader Yashwant Sinha is being shared online,,,16-Mar-21
https://thelogicalindian.com//fact-check/mahendra-singh-dhoni-turns-bald-27404,An image of Mahendra Singh Dhoni wearing a robe in an advertisement is viral with the claim of him converting to Buddhism,,,16-Mar-21
https://thelogicalindian.com//fact-check/bhainsa-communal-violence-27389,"Old photos of riots are viral, claiming to be of the communal riots that recently erupted in Bhainsa, Telangana",,,15-Mar-21
https://thelogicalindian.com//fact-check/bjp-mla-in-punjab-27381,"BJP MLAs from Punjab, in conversation with The Logical Indian, refuted the social media claim of them leaving the party",,,15-Mar-21
https://thelogicalindian.com//fact-check/muslim-beaten-by-hindu-27378,An old image of injury on the body of a 12-year-old boy from Yemen is being widely shared on social media with a fake claim of it being Asif's body after being brutally thrashed,,,15-Mar-21
https://thelogicalindian.com//fact-check/masque-built-by-shakib-al-hassan-27362,An image of a railway station in Ukraine is viral as of a mosque built by Bangladeshi cricketer Shakib Al Hasan and his wife,,,13-Mar-21
https://thelogicalindian.com//fact-check/rahul-gandhi-27359,An edited video of Rahul Gandhi's speech has gone viral to claim he said that Islam inspired mahatma Gandhi's non-violence policies,,,13-Mar-21
https://thelogicalindian.com//fact-check/arvind-kejriwal-27347,Delhi's Chief Minister Arvind Kejriwal and many other social media users misleadingly claimed that India's first teachers' training university will be built by Delhi's government,,,12-Mar-21
https://thelogicalindian.com//fact-check/mamata-banerjee-27345,An old image of West Bengal Chief Minister Mamata Banerjee wearing a bandage and attending the funeral of veteran actor Soumitra Chatterjee is being shared online to discredit her injury in Nandigram incident,,,12-Mar-21
https://thelogicalindian.com//fact-check/sourav-ganguly-27342,Many social media users are sharing digitally morphed images of BCCI President Sourav Ganguly to claim that he is going to join politics,,,12-Mar-21
https://thelogicalindian.com//fact-check/asaduddin-owaisi-27326,Social media users are sharing a photoshopped image of AIMIM leader Asaduddin Owaisi and Home Minister Amit Shah to show that 'AIMIM is B-team of BJP',,,11-Mar-21
https://thelogicalindian.com//fact-check/the-family-man-27311,LiveMint reported that season 2 of The Family Man has been cancelled after the new OTT guidelines were released,,,10-Mar-21
https://thelogicalindian.com//fact-check/badruddin-ajmal-27308,"Ahead of the Assam elections, Social media users are sharing an edited video in which AIUDF leader Badruddin Ajmal can be heard saying that he wants India to become an Islamic State",,,10-Mar-21
https://thelogicalindian.com//fact-check/gujarat-court-acquits-27307,Social media users misleadingly claim 122 Muslims acquitted by Gujarat court for alleged link with SIMI were in prison for 20 years,,,10-Mar-21
https://thelogicalindian.com//fact-check/andhra-pradesh-27290,A video of a Christian pastor from 2013 demeaning the Tirumala shrine revives as him propagating Christianity amid the rule of Andhra Pradesh's Chief Minister YS Jagan Mohan Reddy,,,9-Mar-21
https://thelogicalindian.com//fact-check/hindu-family-killed-in-pakistan-27286,A Hindu man killed his family members and himself in Pakistan,,,9-Mar-21
https://thelogicalindian.com//fact-check/west-bengal-elections-27267,An old newspaper clip of the arrest of former BJP leader Juhi Chowdhury is being shared ahead of the West Bengal Assembly Elections,,,8-Mar-21
https://thelogicalindian.com//fact-check/kerala-minister-27263,"An old poll pledge of BJP leader N Sreeprakash saying he will ensure good quality beef if he wins, is being circulated on social media ahead for upcoming Kerala state assembly elections",,,8-Mar-21
https://thelogicalindian.com//fact-check/spain-farmers-protest-27258,Social media users are sharing old images from Netherland and Germany with false claims that farmers in Spain are demanding MSP on products after getting inspired by the farmers' protest held in India,,,8-Mar-21
